harness,variant,n_workers,range,reps,per_call_min,per_call_med,per_call_max,wake_to_first_worker,wake_to_all_finished,finish_to_observed
k_sem_pingpong,local,0,0,256,191,191,191,0,0,0
pthreadpool,default,1,32,256,605,605,605,0,0,0
pthreadpool,default,1,256,256,4637,4637,4637,0,0,0
pthreadpool,default,1,4096,256,73757,73757,74956,0,0,0
pthreadpool,default,2,32,256,4982,4988,4988,0,0,0
pthreadpool,default,2,256,256,9984,9988,9990,0,0,0
pthreadpool,default,2,4096,256,89979,89987,94991,0,0,0
pthreadpool,default,4,32,256,4982,4988,4994,0,0,0
pthreadpool,default,4,256,256,9982,9988,9988,0,0,0
pthreadpool,default,4,4096,256,49984,49986,51018,0,0,0
k_sem_pingpong,local,0,0,256,191,191,191,0,0,0
pthreadpool,default,1,32,256,605,605,605,0,0,0
pthreadpool,default,1,256,256,4637,4637,4637,0,0,0
pthreadpool,default,1,4096,256,73757,73757,74956,0,0,0
pthreadpool,default,2,32,256,4982,4988,4988,0,0,0
pthreadpool,default,2,256,256,9984,9988,9990,0,0,0
pthreadpool,default,2,4096,256,89979,89987,94991,0,0,0
pthreadpool,default,4,32,256,4982,4988,4994,0,0,0
pthreadpool,default,4,256,256,9982,9988,9988,0,0,0
pthreadpool,default,4,4096,256,49984,49986,51018,0,0,0
