dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles
0,dronet$dispatch_0_RVV_conv2d_N1xIC3xIH112xIW112xOC32xOH56xOW56xKH3xKW3xSH2xSW2xPH1xPW1,,,66.513715,ms,66513715.000000,0,,firesim,conv2d,N=1;IC=3;IH=112;IW=112;OC=32;OH=56;OW=56;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,66513715
1,dronet$dispatch_1_RVV_maxpool2d_N1xC32xIH56xIW56xOH27xOW27xKH3xKW3xSH2xSW2,,,4.269643,ms,4269643.000000,0,,firesim,maxpool2d,N=1;C=32;IH=56;IW=56;OH=27;OW=27;KH=3;KW=3;SH=2;SW=2,4269643
2,dronet$dispatch_2_RVV_batchnorm2d_N1xC32xH27xW27,,,0.408424,ms,408424.000000,0,,firesim,batchnorm2d,N=1;C=32;H=27;W=27,408424
3,dronet$dispatch_3_RVV_relu_n23328,,,0.504246,ms,504246.000000,0,,firesim,relu,n=23328,504246
4,dronet$dispatch_4_RVV_conv2d_N1xIC32xIH27xIW27xOC32xOH14xOW14xKH3xKW3xSH2xSW2xPH1xPW1,,,40.399266,ms,40399266.000000,0,,firesim,conv2d,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,40399266
5,dronet$dispatch_5_RVV_batchnorm2d_N1xC32xH14xW14,,,0.106996,ms,106996.000000,0,,firesim,batchnorm2d,N=1;C=32;H=14;W=14,106996
6,dronet$dispatch_6_RVV_relu_n6272,,,0.119922,ms,119922.000000,0,,firesim,relu,n=6272,119922
7,dronet$dispatch_7_RVV_conv2d_N1xIC32xIH14xIW14xOC32xOH14xOW14xKH3xKW3xSH1xSW1xPH1xPW1,,,39.653982,ms,39653982.000000,0,,firesim,conv2d,N=1;IC=32;IH=14;IW=14;OC=32;OH=14;OW=14;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,39653982
8,dronet$dispatch_8_RVV_conv2d_N1xIC32xIH27xIW27xOC32xOH14xOW14xKH1xKW1xSH2xSW2xPH0xPW0,,,8.131734,ms,8131734.000000,0,,firesim,conv2d,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,8131734
9,dronet$dispatch_9_RVV_add_n6272,,,0.113532,ms,113532.000000,0,,firesim,add,n=6272,113532
10,dronet$dispatch_10_RVV_batchnorm2d_N1xC32xH14xW14,,,0.107808,ms,107808.000000,0,,firesim,batchnorm2d,N=1;C=32;H=14;W=14,107808
11,dronet$dispatch_11_RVV_relu_n6272,,,0.125303,ms,125303.000000,0,,firesim,relu,n=6272,125303
12,dronet$dispatch_12_RVV_conv2d_N1xIC32xIH14xIW14xOC64xOH7xOW7xKH3xKW3xSH2xSW2xPH1xPW1,,,20.058536,ms,20058536.000000,0,,firesim,conv2d,N=1;IC=32;IH=14;IW=14;OC=64;OH=7;OW=7;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,20058536
13,dronet$dispatch_13_RVV_batchnorm2d_N1xC64xH7xW7,,,0.057593,ms,57593.000000,0,,firesim,batchnorm2d,N=1;C=64;H=7;W=7,57593
14,dronet$dispatch_14_RVV_relu_n3136,,,0.059796,ms,59796.000000,0,,firesim,relu,n=3136,59796
15,dronet$dispatch_15_RVV_conv2d_N1xIC64xIH7xIW7xOC64xOH7xOW7xKH3xKW3xSH1xSW1xPH1xPW1,,,38.099617,ms,38099617.000000,0,,firesim,conv2d,N=1;IC=64;IH=7;IW=7;OC=64;OH=7;OW=7;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,38099617
16,dronet$dispatch_16_RVV_conv2d_N1xIC32xIH14xIW14xOC64xOH7xOW7xKH1xKW1xSH2xSW2xPH0xPW0,,,3.879424,ms,3879424.000000,0,,firesim,conv2d,N=1;IC=32;IH=14;IW=14;OC=64;OH=7;OW=7;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,3879424
17,dronet$dispatch_17_RVV_add_n3136,,,0.056427,ms,56427.000000,0,,firesim,add,n=3136,56427
18,dronet$dispatch_18_RVV_batchnorm2d_N1xC64xH7xW7,,,0.056474,ms,56474.000000,0,,firesim,batchnorm2d,N=1;C=64;H=7;W=7,56474
19,dronet$dispatch_19_RVV_relu_n3136,,,0.060953,ms,60953.000000,0,,firesim,relu,n=3136,60953
20,dronet$dispatch_20_RVV_conv2d_N1xIC64xIH7xIW7xOC128xOH4xOW4xKH3xKW3xSH2xSW2xPH1xPW1,,,23.526172,ms,23526172.000000,0,,firesim,conv2d,N=1;IC=64;IH=7;IW=7;OC=128;OH=4;OW=4;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,23526172
21,dronet$dispatch_21_RVV_batchnorm2d_N1xC128xH4xW4,,,0.042801,ms,42801.000000,0,,firesim,batchnorm2d,N=1;C=128;H=4;W=4,42801
22,dronet$dispatch_22_RVV_relu_n2048,,,0.040347,ms,40347.000000,0,,firesim,relu,n=2048,40347
23,dronet$dispatch_23_RVV_conv2d_N1xIC128xIH4xIW4xOC128xOH4xOW4xKH3xKW3xSH1xSW1xPH1xPW1,,,46.870005,ms,46870005.000000,0,,firesim,conv2d,N=1;IC=128;IH=4;IW=4;OC=128;OH=4;OW=4;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,46870005
24,dronet$dispatch_24_RVV_conv2d_N1xIC64xIH7xIW7xOC128xOH4xOW4xKH1xKW1xSH2xSW2xPH0xPW0,,,4.996574,ms,4996574.000000,0,,firesim,conv2d,N=1;IC=64;IH=7;IW=7;OC=128;OH=4;OW=4;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,4996574
25,dronet$dispatch_25_RVV_add_n2048,,,0.040315,ms,40315.000000,0,,firesim,add,n=2048,40315
26,dronet$dispatch_26_RVV_relu_n2048,,,0.035805,ms,35805.000000,0,,firesim,relu,n=2048,35805
27,dronet$dispatch_27_RVV_linear_M1xK2048xN1,,,0.025647,ms,25647.000000,0,,firesim,linear,M=1;K=2048;N=1,25647
28,dronet$dispatch_28_RVV_linear_M1xK2048xN1,,,0.025121,ms,25121.000000,0,,firesim,linear,M=1;K=2048;N=1,25121
29,dronet$dispatch_29_RVV_sigmoid_n1,,,0.000469,ms,469.000000,0,,firesim,sigmoid,n=1,469
