dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles
0,dronet$dispatch_0_RVV_conv2d_N1xIC3xIH112xIW112xOC32xOH56xOW56xKH3xKW3xSH2xSW2xPH1xPW1,,,33.405665,ms,33405665.000000,0,,firesim,conv2d,N=1;IC=3;IH=112;IW=112;OC=32;OH=56;OW=56;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,33405665
1,dronet$dispatch_1_RVV_maxpool2d_N1xC32xIH56xIW56xOH27xOW27xKH3xKW3xSH2xSW2,,,4.282680,ms,4282680.000000,0,,firesim,maxpool2d,N=1;C=32;IH=56;IW=56;OH=27;OW=27;KH=3;KW=3;SH=2;SW=2,4282680
2,dronet$dispatch_2_RVV_batchnorm2d_N1xC32xH27xW27,,,0.410136,ms,410136.000000,0,,firesim,batchnorm2d,N=1;C=32;H=27;W=27,410136
3,dronet$dispatch_3_RVV_relu_n23328,,,0.506546,ms,506546.000000,0,,firesim,relu,n=23328,506546
4,dronet$dispatch_4_RVV_conv2d_N1xIC32xIH27xIW27xOC32xOH14xOW14xKH3xKW3xSH2xSW2xPH1xPW1,,,20.221025,ms,20221025.000000,0,,firesim,conv2d,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,20221025
5,dronet$dispatch_5_RVV_batchnorm2d_N1xC32xH14xW14,,,0.107834,ms,107834.000000,0,,firesim,batchnorm2d,N=1;C=32;H=14;W=14,107834
6,dronet$dispatch_6_RVV_relu_n6272,,,0.119905,ms,119905.000000,0,,firesim,relu,n=6272,119905
7,dronet$dispatch_7_RVV_conv2d_N1xIC32xIH14xIW14xOC32xOH14xOW14xKH3xKW3xSH1xSW1xPH1xPW1,,,19.837749,ms,19837749.000000,0,,firesim,conv2d,N=1;IC=32;IH=14;IW=14;OC=32;OH=14;OW=14;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,19837749
8,dronet$dispatch_8_RVV_conv2d_N1xIC32xIH27xIW27xOC32xOH14xOW14xKH1xKW1xSH2xSW2xPH0xPW0,,,4.092683,ms,4092683.000000,0,,firesim,conv2d,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,4092683
9,dronet$dispatch_9_RVV_add_n6272,,,0.115313,ms,115313.000000,0,,firesim,add,n=6272,115313
10,dronet$dispatch_10_RVV_batchnorm2d_N1xC32xH14xW14,,,0.107631,ms,107631.000000,0,,firesim,batchnorm2d,N=1;C=32;H=14;W=14,107631
11,dronet$dispatch_11_RVV_relu_n6272,,,0.126103,ms,126103.000000,0,,firesim,relu,n=6272,126103
