dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles
0,dronet$dispatch_0_RVV_conv2d_N1xIC3xIH112xIW112xOC32xOH56xOW56xKH3xKW3xSH2xSW2xPH1xPW1,,,16.805000,ms,16805000.000000,0,,firesim,conv2d,N=1;IC=3;IH=112;IW=112;OC=32;OH=56;OW=56;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,16805000
1,dronet$dispatch_1_RVV_maxpool2d_N1xC32xIH56xIW56xOH27xOW27xKH3xKW3xSH2xSW2,,,4.285255,ms,4285255.000000,0,,firesim,maxpool2d,N=1;C=32;IH=56;IW=56;OH=27;OW=27;KH=3;KW=3;SH=2;SW=2,4285255
2,dronet$dispatch_2_RVV_batchnorm2d_N1xC32xH27xW27,,,0.411046,ms,411046.000000,0,,firesim,batchnorm2d,N=1;C=32;H=27;W=27,411046
3,dronet$dispatch_3_RVV_relu_n23328,,,0.505728,ms,505728.000000,0,,firesim,relu,n=23328,505728
4,dronet$dispatch_4_RVV_conv2d_N1xIC32xIH27xIW27xOC32xOH14xOW14xKH3xKW3xSH2xSW2xPH1xPW1,,,10.125517,ms,10125517.000000,0,,firesim,conv2d,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,10125517
5,dronet$dispatch_5_RVV_batchnorm2d_N1xC32xH14xW14,,,0.107542,ms,107542.000000,0,,firesim,batchnorm2d,N=1;C=32;H=14;W=14,107542
6,dronet$dispatch_6_RVV_relu_n6272,,,0.120711,ms,120711.000000,0,,firesim,relu,n=6272,120711
7,dronet$dispatch_7_RVV_conv2d_N1xIC32xIH14xIW14xOC32xOH14xOW14xKH3xKW3xSH1xSW1xPH1xPW1,,,9.930577,ms,9930577.000000,0,,firesim,conv2d,N=1;IC=32;IH=14;IW=14;OC=32;OH=14;OW=14;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,9930577
8,dronet$dispatch_8_RVV_conv2d_N1xIC32xIH27xIW27xOC32xOH14xOW14xKH1xKW1xSH2xSW2xPH0xPW0,,,2.076417,ms,2076417.000000,0,,firesim,conv2d,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,2076417
9,dronet$dispatch_9_RVV_add_n6272,,,0.115896,ms,115896.000000,0,,firesim,add,n=6272,115896
