dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles
0,dronet$dispatch_0_scalar_conv2d_N1xIC3xIH112xIW112xOC32xOH56xOW56xKH3xKW3xSH2xSW2xPH1xPW1,,,16.809506,ms,16809506.000000,0,,firesim,conv2d,N=1;IC=3;IH=112;IW=112;OC=32;OH=56;OW=56;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,16809506
1,dronet$dispatch_1_scalar_maxpool2d_N1xC32xIH56xIW56xOH27xOW27xKH3xKW3xSH2xSW2,,,4.284852,ms,4284852.000000,0,,firesim,maxpool2d,N=1;C=32;IH=56;IW=56;OH=27;OW=27;KH=3;KW=3;SH=2;SW=2,4284852
2,dronet$dispatch_2_scalar_batchnorm2d_N1xC32xH27xW27,,,0.412271,ms,412271.000000,0,,firesim,batchnorm2d,N=1;C=32;H=27;W=27,412271
3,dronet$dispatch_3_scalar_relu_n23328,,,0.507522,ms,507522.000000,0,,firesim,relu,n=23328,507522
4,dronet$dispatch_4_scalar_conv2d_N1xIC32xIH27xIW27xOC32xOH14xOW14xKH3xKW3xSH2xSW2xPH1xPW1,,,10.127358,ms,10127358.000000,0,,firesim,conv2d,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,10127358
5,dronet$dispatch_5_scalar_batchnorm2d_N1xC32xH14xW14,,,0.109047,ms,109047.000000,0,,firesim,batchnorm2d,N=1;C=32;H=14;W=14,109047
6,dronet$dispatch_6_scalar_relu_n6272,,,0.120305,ms,120305.000000,0,,firesim,relu,n=6272,120305
7,dronet$dispatch_7_scalar_conv2d_N1xIC32xIH14xIW14xOC32xOH14xOW14xKH3xKW3xSH1xSW1xPH1xPW1,,,9.933876,ms,9933876.000000,0,,firesim,conv2d,N=1;IC=32;IH=14;IW=14;OC=32;OH=14;OW=14;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,9933876
8,dronet$dispatch_8_scalar_conv2d_N1xIC32xIH27xIW27xOC32xOH14xOW14xKH1xKW1xSH2xSW2xPH0xPW0,,,2.078873,ms,2078873.000000,0,,firesim,conv2d,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,2078873
9,dronet$dispatch_9_scalar_add_n6272,,,0.114248,ms,114248.000000,0,,firesim,add,n=6272,114248
10,dronet$dispatch_10_scalar_batchnorm2d_N1xC32xH14xW14,,,0.108030,ms,108030.000000,0,,firesim,batchnorm2d,N=1;C=32;H=14;W=14,108030
11,dronet$dispatch_11_scalar_relu_n6272,,,0.126714,ms,126714.000000,0,,firesim,relu,n=6272,126714
12,dronet$dispatch_12_scalar_conv2d_N1xIC32xIH14xIW14xOC64xOH7xOW7xKH3xKW3xSH2xSW2xPH1xPW1,,,5.034666,ms,5034666.000000,0,,firesim,conv2d,N=1;IC=32;IH=14;IW=14;OC=64;OH=7;OW=7;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,5034666
13,dronet$dispatch_13_scalar_batchnorm2d_N1xC64xH7xW7,,,0.058341,ms,58341.000000,0,,firesim,batchnorm2d,N=1;C=64;H=7;W=7,58341
14,dronet$dispatch_14_scalar_relu_n3136,,,0.060135,ms,60135.000000,0,,firesim,relu,n=3136,60135
15,dronet$dispatch_15_scalar_conv2d_N1xIC64xIH7xIW7xOC64xOH7xOW7xKH3xKW3xSH1xSW1xPH1xPW1,,,9.545914,ms,9545914.000000,0,,firesim,conv2d,N=1;IC=64;IH=7;IW=7;OC=64;OH=7;OW=7;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,9545914
16,dronet$dispatch_16_scalar_conv2d_N1xIC32xIH14xIW14xOC64xOH7xOW7xKH1xKW1xSH2xSW2xPH0xPW0,,,0.998408,ms,998408.000000,0,,firesim,conv2d,N=1;IC=32;IH=14;IW=14;OC=64;OH=7;OW=7;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,998408
17,dronet$dispatch_17_scalar_add_n3136,,,0.057328,ms,57328.000000,0,,firesim,add,n=3136,57328
18,dronet$dispatch_18_scalar_batchnorm2d_N1xC64xH7xW7,,,0.056656,ms,56656.000000,0,,firesim,batchnorm2d,N=1;C=64;H=7;W=7,56656
19,dronet$dispatch_19_scalar_relu_n3136,,,0.060993,ms,60993.000000,0,,firesim,relu,n=3136,60993
20,dronet$dispatch_20_scalar_conv2d_N1xIC64xIH7xIW7xOC128xOH4xOW4xKH3xKW3xSH2xSW2xPH1xPW1,,,5.903742,ms,5903742.000000,0,,firesim,conv2d,N=1;IC=64;IH=7;IW=7;OC=128;OH=4;OW=4;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,5903742
21,dronet$dispatch_21_scalar_batchnorm2d_N1xC128xH4xW4,,,0.043381,ms,43381.000000,0,,firesim,batchnorm2d,N=1;C=128;H=4;W=4,43381
22,dronet$dispatch_22_scalar_relu_n2048,,,0.040226,ms,40226.000000,0,,firesim,relu,n=2048,40226
23,dronet$dispatch_23_scalar_conv2d_N1xIC128xIH4xIW4xOC128xOH4xOW4xKH3xKW3xSH1xSW1xPH1xPW1,,,11.736244,ms,11736244.000000,0,,firesim,conv2d,N=1;IC=128;IH=4;IW=4;OC=128;OH=4;OW=4;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,11736244
24,dronet$dispatch_24_scalar_conv2d_N1xIC64xIH7xIW7xOC128xOH4xOW4xKH1xKW1xSH2xSW2xPH0xPW0,,,1.270922,ms,1270922.000000,0,,firesim,conv2d,N=1;IC=64;IH=7;IW=7;OC=128;OH=4;OW=4;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,1270922
25,dronet$dispatch_25_scalar_add_n2048,,,0.040366,ms,40366.000000,0,,firesim,add,n=2048,40366
26,dronet$dispatch_26_scalar_relu_n2048,,,0.035896,ms,35896.000000,0,,firesim,relu,n=2048,35896
27,dronet$dispatch_27_scalar_linear_M1xK2048xN1,,,0.025410,ms,25410.000000,0,,firesim,linear,M=1;K=2048;N=1,25410
28,dronet$dispatch_28_scalar_linear_M1xK2048xN1,,,0.025166,ms,25166.000000,0,,firesim,linear,M=1;K=2048;N=1,25166
29,dronet$dispatch_29_scalar_sigmoid_n1,,,0.000244,ms,244.000000,0,,firesim,sigmoid,n=1,244
