dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles
0,dronet$dispatch_0_scalar_conv2d_N1xIC3xIH112xIW112xOC32xOH56xOW56xKH3xKW3xSH2xSW2xPH1xPW1,,,73.103462,ms,73103462.000000,0,,firesim,conv2d,N=1;IC=3;IH=112;IW=112;OC=32;OH=56;OW=56;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,73103462
1,dronet$dispatch_1_scalar_maxpool2d_N1xC32xIH56xIW56xOH27xOW27xKH3xKW3xSH2xSW2,,,4.283879,ms,4283879.000000,0,,firesim,maxpool2d,N=1;C=32;IH=56;IW=56;OH=27;OW=27;KH=3;KW=3;SH=2;SW=2,4283879
2,dronet$dispatch_2_scalar_batchnorm2d_N1xC32xH27xW27,,,0.410618,ms,410618.000000,0,,firesim,batchnorm2d,N=1;C=32;H=27;W=27,410618
3,dronet$dispatch_3_scalar_relu_n23328,,,0.505759,ms,505759.000000,0,,firesim,relu,n=23328,505759
4,dronet$dispatch_4_scalar_conv2d_N1xIC32xIH27xIW27xOC32xOH14xOW14xKH3xKW3xSH2xSW2xPH1xPW1,,,53.380019,ms,53380019.000000,0,,firesim,conv2d,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,53380019
5,dronet$dispatch_5_scalar_batchnorm2d_N1xC32xH14xW14,,,0.109715,ms,109715.000000,0,,firesim,batchnorm2d,N=1;C=32;H=14;W=14,109715
6,dronet$dispatch_6_scalar_relu_n6272,,,0.120050,ms,120050.000000,0,,firesim,relu,n=6272,120050
7,dronet$dispatch_7_scalar_conv2d_N1xIC32xIH14xIW14xOC32xOH14xOW14xKH3xKW3xSH1xSW1xPH1xPW1,,,39.822936,ms,39822936.000000,0,,firesim,conv2d,N=1;IC=32;IH=14;IW=14;OC=32;OH=14;OW=14;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,39822936
8,dronet$dispatch_8_scalar_conv2d_N1xIC32xIH27xIW27xOC32xOH14xOW14xKH1xKW1xSH2xSW2xPH0xPW0,,,21.144989,ms,21144989.000000,0,,firesim,conv2d,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,21144989
9,dronet$dispatch_9_scalar_add_n6272,,,0.114020,ms,114020.000000,0,,firesim,add,n=6272,114020
10,dronet$dispatch_10_scalar_batchnorm2d_N1xC32xH14xW14,,,0.107657,ms,107657.000000,0,,firesim,batchnorm2d,N=1;C=32;H=14;W=14,107657
11,dronet$dispatch_11_scalar_relu_n6272,,,0.125780,ms,125780.000000,0,,firesim,relu,n=6272,125780
12,dronet$dispatch_12_scalar_conv2d_N1xIC32xIH14xIW14xOC64xOH7xOW7xKH3xKW3xSH2xSW2xPH1xPW1,,,27.055595,ms,27055595.000000,0,,firesim,conv2d,N=1;IC=32;IH=14;IW=14;OC=64;OH=7;OW=7;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,27055595
13,dronet$dispatch_13_scalar_batchnorm2d_N1xC64xH7xW7,,,0.058028,ms,58028.000000,0,,firesim,batchnorm2d,N=1;C=64;H=7;W=7,58028
14,dronet$dispatch_14_scalar_relu_n3136,,,0.059820,ms,59820.000000,0,,firesim,relu,n=3136,59820
15,dronet$dispatch_15_scalar_conv2d_N1xIC64xIH7xIW7xOC64xOH7xOW7xKH3xKW3xSH1xSW1xPH1xPW1,,,45.094814,ms,45094814.000000,0,,firesim,conv2d,N=1;IC=64;IH=7;IW=7;OC=64;OH=7;OW=7;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,45094814
16,dronet$dispatch_16_scalar_conv2d_N1xIC32xIH14xIW14xOC64xOH7xOW7xKH1xKW1xSH2xSW2xPH0xPW0,,,10.897653,ms,10897653.000000,0,,firesim,conv2d,N=1;IC=32;IH=14;IW=14;OC=64;OH=7;OW=7;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,10897653
17,dronet$dispatch_17_scalar_add_n3136,,,0.057066,ms,57066.000000,0,,firesim,add,n=3136,57066
18,dronet$dispatch_18_scalar_batchnorm2d_N1xC64xH7xW7,,,0.056185,ms,56185.000000,0,,firesim,batchnorm2d,N=1;C=64;H=7;W=7,56185
19,dronet$dispatch_19_scalar_relu_n3136,,,0.060809,ms,60809.000000,0,,firesim,relu,n=3136,60809
20,dronet$dispatch_20_scalar_conv2d_N1xIC64xIH7xIW7xOC128xOH4xOW4xKH3xKW3xSH2xSW2xPH1xPW1,,,30.521669,ms,30521669.000000,0,,firesim,conv2d,N=1;IC=64;IH=7;IW=7;OC=128;OH=4;OW=4;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,30521669
21,dronet$dispatch_21_scalar_batchnorm2d_N1xC128xH4xW4,,,0.044028,ms,44028.000000,0,,firesim,batchnorm2d,N=1;C=128;H=4;W=4,44028
22,dronet$dispatch_22_scalar_relu_n2048,,,0.040241,ms,40241.000000,0,,firesim,relu,n=2048,40241
23,dronet$dispatch_23_scalar_conv2d_N1xIC128xIH4xIW4xOC128xOH4xOW4xKH3xKW3xSH1xSW1xPH1xPW1,,,59.881234,ms,59881234.000000,0,,firesim,conv2d,N=1;IC=128;IH=4;IW=4;OC=128;OH=4;OW=4;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,59881234
24,dronet$dispatch_24_scalar_conv2d_N1xIC64xIH7xIW7xOC128xOH4xOW4xKH1xKW1xSH2xSW2xPH0xPW0,,,18.006984,ms,18006984.000000,0,,firesim,conv2d,N=1;IC=64;IH=7;IW=7;OC=128;OH=4;OW=4;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,18006984
25,dronet$dispatch_25_scalar_add_n2048,,,0.039276,ms,39276.000000,0,,firesim,add,n=2048,39276
26,dronet$dispatch_26_scalar_relu_n2048,,,0.035678,ms,35678.000000,0,,firesim,relu,n=2048,35678
27,dronet$dispatch_27_scalar_linear_M1xK2048xN1,,,0.025525,ms,25525.000000,0,,firesim,linear,M=1;K=2048;N=1,25525
28,dronet$dispatch_28_scalar_linear_M1xK2048xN1,,,0.024914,ms,24914.000000,0,,firesim,linear,M=1;K=2048;N=1,24914
29,dronet$dispatch_29_scalar_sigmoid_n1,,,0.000293,ms,293.000000,0,,firesim,sigmoid,n=1,293
