backend,dispatch_id,name,op,shape,cycles
scalar,8,conv_modules.3,conv2d,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,7914261
scalar,16,conv_modules.6,conv2d,N=1;IC=32;IH=14;IW=14;OC=64;OH=7;OW=7;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,3779101
scalar,24,conv_modules.9,conv2d,N=1;IC=64;IH=7;IW=7;OC=128;OH=4;OW=4;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,4861668
rvv,0,conv_modules.0,conv2d,N=1;IC=3;IH=112;IW=112;OC=32;OH=56;OW=56;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,65970774
rvv,1,maxpool1,maxpool2d,N=1;C=32;IH=56;IW=56;OH=27;OW=27;KH=3;KW=3;SH=2;SW=2,4281420
rvv,2,bn_modules.0,batchnorm2d,N=1;C=32;H=27;W=27,407798
rvv,3,relu_modules.0,relu,n=23328,508338
rvv,4,conv_modules.1,conv2d,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,40391971
rvv,5,bn_modules.1,batchnorm2d,N=1;C=32;H=14;W=14,108111
rvv,6,relu_modules.1,relu,n=6272,120258
rvv,7,conv_modules.2,conv2d,N=1;IC=32;IH=14;IW=14;OC=32;OH=14;OW=14;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,39625256
rvv,9,add,add,n=6272,125372
rvv,10,bn_modules.2,batchnorm2d,N=1;C=32;H=14;W=14,109286
rvv,11,relu_modules.2,relu,n=6272,127929
rvv,12,conv_modules.4,conv2d,N=1;IC=32;IH=14;IW=14;OC=64;OH=7;OW=7;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,20056230
rvv,13,bn_modules.3,batchnorm2d,N=1;C=64;H=7;W=7,58327
rvv,14,relu_modules.3,relu,n=3136,59516
rvv,15,conv_modules.5,conv2d,N=1;IC=64;IH=7;IW=7;OC=64;OH=7;OW=7;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,38082481
rvv,17,add_1,add,n=3136,61208
rvv,18,bn_modules.4,batchnorm2d,N=1;C=64;H=7;W=7,57185
rvv,19,relu_modules.4,relu,n=3136,60504
rvv,20,conv_modules.7,conv2d,N=1;IC=64;IH=7;IW=7;OC=128;OH=4;OW=4;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,23522017
rvv,21,bn_modules.5,batchnorm2d,N=1;C=128;H=4;W=4,44124
rvv,22,relu_modules.5,relu,n=2048,40581
rvv,23,conv_modules.8,conv2d,N=1;IC=128;IH=4;IW=4;OC=128;OH=4;OW=4;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,46856403
rvv,25,add_2,add,n=2048,44569
rvv,26,relu_modules.6,relu,n=2048,35899
rvv,28,linear2,linear,M=1;K=2048;N=1,25231
rvv,27,linear1,linear,M=1;K=2048;N=1,24852
rvv,29,sigmoid1,sigmoid,n=1,786
