dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles
0,dronet$dispatch_0_V256D128_rvv_curated_conv2d_s8_N1xIC3xIH112xIW112xOC32xOH56xOW56xKH3xKW3xSH2xSW2xPH1xPW1,,,5.853469,ms,5853469.000000,0,,firesim,conv2d_s8,N=1;IC=3;IH=112;IW=112;OC=32;OH=56;OW=56;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,5853469
1,dronet$dispatch_1_V256D128_rvv_curated_maxpool2d_s8_N1xC32xIH56xIW56xOH27xOW27xKH3xKW3xSH2xSW2xPH0xPW0xDH1xDW1,,,0.759079,ms,759079.000000,0,,firesim,maxpool2d_s8,N=1;C=32;IH=56;IW=56;OH=27;OW=27;KH=3;KW=3;SH=2;SW=2;PH=0;PW=0;DH=1;DW=1,759079
2,dronet$dispatch_2_V256D128_rvv_curated_batchnorm2d_s8_N1xC32xH27xW27,,,0.047627,ms,47627.000000,0,,firesim,batchnorm2d_s8,N=1;C=32;H=27;W=27,47627
3,dronet$dispatch_3_V256D128_rvv_curated_relu_s8_n23328,,,0.004594,ms,4594.000000,0,,firesim,relu_s8,n=23328,4594
4,dronet$dispatch_4_V256D128_rvv_curated_conv2d_s8_N1xIC32xIH27xIW27xOC32xOH14xOW14xKH3xKW3xSH2xSW2xPH1xPW1,,,1.732142,ms,1732142.000000,0,,firesim,conv2d_s8,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,1732142
5,dronet$dispatch_5_V256D128_rvv_curated_batchnorm2d_s8_N1xC32xH14xW14,,,0.014256,ms,14256.000000,0,,firesim,batchnorm2d_s8,N=1;C=32;H=14;W=14,14256
6,dronet$dispatch_6_V256D128_rvv_curated_relu_s8_n6272,,,0.001079,ms,1079.000000,0,,firesim,relu_s8,n=6272,1079
7,dronet$dispatch_7_V256D128_rvv_curated_conv2d_s8_N1xIC32xIH14xIW14xOC32xOH14xOW14xKH3xKW3xSH1xSW1xPH1xPW1,,,1.722074,ms,1722074.000000,0,,firesim,conv2d_s8,N=1;IC=32;IH=14;IW=14;OC=32;OH=14;OW=14;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,1722074
8,dronet$dispatch_8_V256D128_rvv_curated_conv2d_s8_N1xIC32xIH27xIW27xOC32xOH14xOW14xKH1xKW1xSH2xSW2xPH0xPW0,,,0.516037,ms,516037.000000,0,,firesim,conv2d_s8,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,516037
9,dronet$dispatch_9_V256D128_rvv_curated_add_s8_n6272,,,0.504297,ms,504297.000000,0,,firesim,add_s8,n=6272,504297
10,dronet$dispatch_10_V256D128_rvv_curated_batchnorm2d_s8_N1xC32xH14xW14,,,0.014342,ms,14342.000000,0,,firesim,batchnorm2d_s8,N=1;C=32;H=14;W=14,14342
11,dronet$dispatch_11_V256D128_rvv_curated_relu_s8_n6272,,,0.001356,ms,1356.000000,0,,firesim,relu_s8,n=6272,1356
12,dronet$dispatch_12_V256D128_rvv_curated_conv2d_s8_N1xIC32xIH14xIW14xOC64xOH7xOW7xKH3xKW3xSH2xSW2xPH1xPW1,,,0.857690,ms,857690.000000,0,,firesim,conv2d_s8,N=1;IC=32;IH=14;IW=14;OC=64;OH=7;OW=7;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,857690
13,dronet$dispatch_13_V256D128_rvv_curated_batchnorm2d_s8_N1xC64xH7xW7,,,0.007020,ms,7020.000000,0,,firesim,batchnorm2d_s8,N=1;C=64;H=7;W=7,7020
14,dronet$dispatch_14_V256D128_rvv_curated_relu_s8_n3136,,,0.000653,ms,653.000000,0,,firesim,relu_s8,n=3136,653
