dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles
0,yolov8_nano$dispatch_0_V256D128_rvv_curated_conv2d_s8_N1xIC3xIH160xIW160xOC16xOH80xOW80xKH3xKW3xSH2xSW2xPH1xPW1,,,8.566232,ms,8566232.000000,0,,firesim,conv2d_s8,N=1;IC=3;IH=160;IW=160;OC=16;OH=80;OW=80;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,8566232
1,yolov8_nano$dispatch_1_V256D128_rvv_curated_batchnorm2d_s8_N1xC16xH80xW80,,,1.389033,ms,1389033.000000,0,,firesim,batchnorm2d_s8,N=1;C=16;H=80;W=80,1389033
2,yolov8_nano$dispatch_2_V256D128_rvv_curated_silu_s8_n102400,,,1.112519,ms,1112519.000000,0,,firesim,silu_s8,n=102400,1112519
3,yolov8_nano$dispatch_3_V256D128_rvv_curated_conv2d_s8_N1xIC16xIH80xIW80xOC32xOH40xOW40xKH3xKW3xSH2xSW2xPH1xPW1,,,8.061676,ms,8061676.000000,0,,firesim,conv2d_s8,N=1;IC=16;IH=80;IW=80;OC=32;OH=40;OW=40;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,8061676
4,yolov8_nano$dispatch_4_V256D128_rvv_curated_batchnorm2d_s8_N1xC32xH40xW40,,,1.176566,ms,1176566.000000,0,,firesim,batchnorm2d_s8,N=1;C=32;H=40;W=40,1176566
5,yolov8_nano$dispatch_5_V256D128_rvv_curated_silu_s8_n51200,,,0.554775,ms,554775.000000,0,,firesim,silu_s8,n=51200,554775
6,yolov8_nano$dispatch_6_V256D128_rvv_curated_conv2d_s8_N1xIC32xIH40xIW40xOC32xOH40xOW40xKH1xKW1xSH1xSW1xPH0xPW0,,,4.118598,ms,4118598.000000,0,,firesim,conv2d_s8,N=1;IC=32;IH=40;IW=40;OC=32;OH=40;OW=40;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,4118598
7,yolov8_nano$dispatch_7_V256D128_rvv_curated_batchnorm2d_s8_N1xC32xH40xW40,,,1.184562,ms,1184562.000000,0,,firesim,batchnorm2d_s8,N=1;C=32;H=40;W=40,1184562
8,yolov8_nano$dispatch_8_V256D128_rvv_curated_silu_s8_n51200,,,0.558032,ms,558032.000000,0,,firesim,silu_s8,n=51200,558032
10,yolov8_nano$dispatch_10_V256D128_rvv_curated_conv2d_s8_N1xIC16xIH40xIW40xOC16xOH40xOW40xKH3xKW3xSH1xSW1xPH1xPW1,,,7.170190,ms,7170190.000000,0,,firesim,conv2d_s8,N=1;IC=16;IH=40;IW=40;OC=16;OH=40;OW=40;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,7170190
