dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles
0,yolov8_nano$dispatch_0_V256D128_rvv_curated_conv2d_s8,,,8.566232,ms,8566232.000000,0,,firesim,conv2d_s8,N=1;IC=3;IH=160;IW=160;OC=16;OH=80;OW=80;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,8566232
1,yolov8_nano$dispatch_1_V256D128_rvv_curated_batchnorm2d_silu_s8,,,37.699964,ms,37699964.000000,0,,firesim,batchnorm2d_silu_s8,N=1;C=16;H=80;W=80,37699964
2,yolov8_nano$dispatch_2_V256D128_rvv_curated_conv2d_s8,,,8.061676,ms,8061676.000000,0,,firesim,conv2d_s8,N=1;IC=16;IH=80;IW=80;OC=32;OH=40;OW=40;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,8061676
3,yolov8_nano$dispatch_3_V256D128_rvv_curated_batchnorm2d_silu_s8,,,18.298661,ms,18298661.000000,0,,firesim,batchnorm2d_silu_s8,N=1;C=32;H=40;W=40,18298661
4,yolov8_nano$dispatch_4_V256D128_rvv_curated_conv2d_s8,,,4.118598,ms,4118598.000000,0,,firesim,conv2d_s8,N=1;IC=32;IH=40;IW=40;OC=32;OH=40;OW=40;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,4118598
5,yolov8_nano$dispatch_5_V256D128_rvv_curated_batchnorm2d_silu_s8,,,18.232334,ms,18232334.000000,0,,firesim,batchnorm2d_silu_s8,N=1;C=32;H=40;W=40,18232334
7,yolov8_nano$dispatch_7_V256D128_rvv_curated_conv2d_s8,,,7.170190,ms,7170190.000000,0,,firesim,conv2d_s8,N=1;IC=16;IH=40;IW=40;OC=16;OH=40;OW=40;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,7170190
8,yolov8_nano$dispatch_8_V256D128_rvv_curated_batchnorm2d_silu_s8,,,9.282475,ms,9282475.000000,0,,firesim,batchnorm2d_silu_s8,N=1;C=16;H=40;W=40,9282475
9,yolov8_nano$dispatch_9_V256D128_rvv_curated_conv2d_s8,,,7.165632,ms,7165632.000000,0,,firesim,conv2d_s8,N=1;IC=16;IH=40;IW=40;OC=16;OH=40;OW=40;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,7165632
10,yolov8_nano$dispatch_10_V256D128_rvv_curated_batchnorm2d_silu_s8,,,9.284533,ms,9284533.000000,0,,firesim,batchnorm2d_silu_s8,N=1;C=16;H=40;W=40,9284533
11,yolov8_nano$dispatch_11_V256D128_rvv_curated_add_s8,,,2.014631,ms,2014631.000000,0,,firesim,add_s8,n=25600,2014631
12,yolov8_nano$dispatch_12_V256D128_rvv_curated_cat3_c1_s8,,,4.647808,ms,4647808.000000,0,,firesim,cat3_c1_s8,N=1;H=40;W=40;C_inputs=16|16|16;C_total=48,4647808
13,yolov8_nano$dispatch_13_V256D128_rvv_curated_conv2d_s8,,,5.326307,ms,5326307.000000,0,,firesim,conv2d_s8,N=1;IC=48;IH=40;IW=40;OC=32;OH=40;OW=40;KH=1;KW=1;SH=1;SW=1;PH=0;PW=0,5326307
14,yolov8_nano$dispatch_14_V256D128_rvv_curated_batchnorm2d_silu_s8,,,18.461136,ms,18461136.000000,0,,firesim,batchnorm2d_silu_s8,N=1;C=32;H=40;W=40,18461136
15,yolov8_nano$dispatch_15_V256D128_rvv_curated_conv2d_s8,,,7.091221,ms,7091221.000000,0,,firesim,conv2d_s8,N=1;IC=32;IH=40;IW=40;OC=64;OH=20;OW=20;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,7091221
