dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles
0,dronet$dispatch_0_gemmini_q31_conv2d_s8_N1xIC3xIH112xIW112xOC32xOH56xOW56xKH3xKW3xSH2xSW2xPH1xPW1,,,5.349867,ms,5349867.000000,0,,firesim,conv2d_s8,N=1;IC=3;IH=112;IW=112;OC=32;OH=56;OW=56;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,5349867
1,dronet$dispatch_1_gemmini_q31_maxpool2d_s8_N1xC32xIH56xIW56xOH27xOW27xKH3xKW3xSH2xSW2xPH0xPW0xDH1xDW1,,,1.207724,ms,1207724.000000,0,,firesim,maxpool2d_s8,N=1;C=32;IH=56;IW=56;OH=27;OW=27;KH=3;KW=3;SH=2;SW=2;PH=0;PW=0;DH=1;DW=1,1207724
2,dronet$dispatch_2_gemmini_q31_batchnorm2d_s8_N1xC32xH27xW27,,,1.952400,ms,1952400.000000,0,,firesim,batchnorm2d_s8,N=1;C=32;H=27;W=27,1952400
3,dronet$dispatch_3_gemmini_q31_relu_s8_n23328,,,0.112734,ms,112734.000000,0,,firesim,relu_s8,n=23328,112734
4,dronet$dispatch_4_gemmini_q31_conv2d_s8_N1xIC32xIH27xIW27xOC32xOH14xOW14xKH3xKW3xSH2xSW2xPH1xPW1,,,0.500063,ms,500063.000000,0,,firesim,conv2d_s8,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,500063
5,dronet$dispatch_5_gemmini_q31_batchnorm2d_s8_N1xC32xH14xW14,,,0.535000,ms,535000.000000,0,,firesim,batchnorm2d_s8,N=1;C=32;H=14;W=14,535000
6,dronet$dispatch_6_gemmini_q31_relu_s8_n6272,,,0.030049,ms,30049.000000,0,,firesim,relu_s8,n=6272,30049
7,dronet$dispatch_7_gemmini_q31_conv2d_s8_N1xIC32xIH14xIW14xOC32xOH14xOW14xKH3xKW3xSH1xSW1xPH1xPW1,,,0.393534,ms,393534.000000,0,,firesim,conv2d_s8,N=1;IC=32;IH=14;IW=14;OC=32;OH=14;OW=14;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,393534
8,dronet$dispatch_8_gemmini_q31_conv2d_s8_N1xIC32xIH27xIW27xOC32xOH14xOW14xKH1xKW1xSH2xSW2xPH0xPW0,,,0.364776,ms,364776.000000,0,,firesim,conv2d_s8,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,364776
9,dronet$dispatch_9_gemmini_q31_add_s8_n6272,,,0.511558,ms,511558.000000,0,,firesim,add_s8,n=6272,511558
10,dronet$dispatch_10_gemmini_q31_batchnorm2d_s8_N1xC32xH14xW14,,,0.530729,ms,530729.000000,0,,firesim,batchnorm2d_s8,N=1;C=32;H=14;W=14,530729
11,dronet$dispatch_11_gemmini_q31_relu_s8_n6272,,,0.030012,ms,30012.000000,0,,firesim,relu_s8,n=6272,30012
12,dronet$dispatch_12_gemmini_q31_conv2d_s8_N1xIC32xIH14xIW14xOC64xOH7xOW7xKH3xKW3xSH2xSW2xPH1xPW1,,,0.172741,ms,172741.000000,0,,firesim,conv2d_s8,N=1;IC=32;IH=14;IW=14;OC=64;OH=7;OW=7;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,172741
13,dronet$dispatch_13_gemmini_q31_batchnorm2d_s8_N1xC64xH7xW7,,,0.265945,ms,265945.000000,0,,firesim,batchnorm2d_s8,N=1;C=64;H=7;W=7,265945
14,dronet$dispatch_14_gemmini_q31_relu_s8_n3136,,,0.015020,ms,15020.000000,0,,firesim,relu_s8,n=3136,15020
15,dronet$dispatch_15_gemmini_q31_conv2d_s8_N1xIC64xIH7xIW7xOC64xOH7xOW7xKH3xKW3xSH1xSW1xPH1xPW1,,,0.172959,ms,172959.000000,0,,firesim,conv2d_s8,N=1;IC=64;IH=7;IW=7;OC=64;OH=7;OW=7;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,172959
16,dronet$dispatch_16_gemmini_q31_conv2d_s8_N1xIC32xIH14xIW14xOC64xOH7xOW7xKH1xKW1xSH2xSW2xPH0xPW0,,,0.132976,ms,132976.000000,0,,firesim,conv2d_s8,N=1;IC=32;IH=14;IW=14;OC=64;OH=7;OW=7;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,132976
17,dronet$dispatch_17_gemmini_q31_add_s8_n3136,,,0.254637,ms,254637.000000,0,,firesim,add_s8,n=3136,254637
18,dronet$dispatch_18_gemmini_q31_batchnorm2d_s8_N1xC64xH7xW7,,,0.268027,ms,268027.000000,0,,firesim,batchnorm2d_s8,N=1;C=64;H=7;W=7,268027
19,dronet$dispatch_19_gemmini_q31_relu_s8_n3136,,,0.015055,ms,15055.000000,0,,firesim,relu_s8,n=3136,15055
20,dronet$dispatch_20_gemmini_q31_conv2d_s8_N1xIC64xIH7xIW7xOC128xOH4xOW4xKH3xKW3xSH2xSW2xPH1xPW1,,,0.116441,ms,116441.000000,0,,firesim,conv2d_s8,N=1;IC=64;IH=7;IW=7;OC=128;OH=4;OW=4;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,116441
21,dronet$dispatch_21_gemmini_q31_batchnorm2d_s8_N1xC128xH4xW4,,,0.182120,ms,182120.000000,0,,firesim,batchnorm2d_s8,N=1;C=128;H=4;W=4,182120
22,dronet$dispatch_22_gemmini_q31_relu_s8_n2048,,,0.009805,ms,9805.000000,0,,firesim,relu_s8,n=2048,9805
23,dronet$dispatch_23_gemmini_q31_conv2d_s8_N1xIC128xIH4xIW4xOC128xOH4xOW4xKH3xKW3xSH1xSW1xPH1xPW1,,,0.128011,ms,128011.000000,0,,firesim,conv2d_s8,N=1;IC=128;IH=4;IW=4;OC=128;OH=4;OW=4;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,128011
24,dronet$dispatch_24_gemmini_q31_conv2d_s8_N1xIC64xIH7xIW7xOC128xOH4xOW4xKH1xKW1xSH2xSW2xPH0xPW0,,,0.092697,ms,92697.000000,0,,firesim,conv2d_s8,N=1;IC=64;IH=7;IW=7;OC=128;OH=4;OW=4;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,92697
25,dronet$dispatch_25_gemmini_q31_add_s8_n2048,,,0.165096,ms,165096.000000,0,,firesim,add_s8,n=2048,165096
26,dronet$dispatch_26_gemmini_q31_relu_s8_n2048,,,0.009803,ms,9803.000000,0,,firesim,relu_s8,n=2048,9803
27,dronet$dispatch_27_gemmini_q31_linear_s8_M1xK2048xN1,,,0.010528,ms,10528.000000,0,,firesim,linear_s8,M=1;K=2048;N=1,10528
28,dronet$dispatch_28_gemmini_q31_linear_s8_M1xK2048xN1,,,0.008557,ms,8557.000000,0,,firesim,linear_s8,M=1;K=2048;N=1,8557
29,dronet$dispatch_29_gemmini_q31_sigmoid_s8_n1,,,0.000953,ms,953.000000,0,,firesim,sigmoid_s8,n=1,953
