dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles
0,dronet$dispatch_0_scalar_conv2d_N1xIC3xIH112xIW112xOC32xOH56xOW56xKH3xKW3xSH2xSW2xPH1xPW1,,,33.398924,ms,33398924.000000,0,,firesim,conv2d,N=1;IC=3;IH=112;IW=112;OC=32;OH=56;OW=56;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,33398924
1,dronet$dispatch_1_scalar_maxpool2d_N1xC32xIH56xIW56xOH27xOW27xKH3xKW3xSH2xSW2,,,4.284509,ms,4284509.000000,0,,firesim,maxpool2d,N=1;C=32;IH=56;IW=56;OH=27;OW=27;KH=3;KW=3;SH=2;SW=2,4284509
2,dronet$dispatch_2_scalar_batchnorm2d_N1xC32xH27xW27,,,0.411152,ms,411152.000000,0,,firesim,batchnorm2d,N=1;C=32;H=27;W=27,411152
3,dronet$dispatch_3_scalar_relu_n23328,,,0.506428,ms,506428.000000,0,,firesim,relu,n=23328,506428
4,dronet$dispatch_4_scalar_conv2d_N1xIC32xIH27xIW27xOC32xOH14xOW14xKH3xKW3xSH2xSW2xPH1xPW1,,,20.213340,ms,20213340.000000,0,,firesim,conv2d,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,20213340
5,dronet$dispatch_5_scalar_batchnorm2d_N1xC32xH14xW14,,,0.109627,ms,109627.000000,0,,firesim,batchnorm2d,N=1;C=32;H=14;W=14,109627
6,dronet$dispatch_6_scalar_relu_n6272,,,0.120397,ms,120397.000000,0,,firesim,relu,n=6272,120397
7,dronet$dispatch_7_scalar_conv2d_N1xIC32xIH14xIW14xOC32xOH14xOW14xKH3xKW3xSH1xSW1xPH1xPW1,,,19.837553,ms,19837553.000000,0,,firesim,conv2d,N=1;IC=32;IH=14;IW=14;OC=32;OH=14;OW=14;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,19837553
8,dronet$dispatch_8_scalar_conv2d_N1xIC32xIH27xIW27xOC32xOH14xOW14xKH1xKW1xSH2xSW2xPH0xPW0,,,4.092213,ms,4092213.000000,0,,firesim,conv2d,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,4092213
9,dronet$dispatch_9_scalar_add_n6272,,,0.114218,ms,114218.000000,0,,firesim,add,n=6272,114218
10,dronet$dispatch_10_scalar_batchnorm2d_N1xC32xH14xW14,,,0.107664,ms,107664.000000,0,,firesim,batchnorm2d,N=1;C=32;H=14;W=14,107664
11,dronet$dispatch_11_scalar_relu_n6272,,,0.125905,ms,125905.000000,0,,firesim,relu,n=6272,125905
12,dronet$dispatch_12_scalar_conv2d_N1xIC32xIH14xIW14xOC64xOH7xOW7xKH3xKW3xSH2xSW2xPH1xPW1,,,10.043255,ms,10043255.000000,0,,firesim,conv2d,N=1;IC=32;IH=14;IW=14;OC=64;OH=7;OW=7;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,10043255
13,dronet$dispatch_13_scalar_batchnorm2d_N1xC64xH7xW7,,,0.057947,ms,57947.000000,0,,firesim,batchnorm2d,N=1;C=64;H=7;W=7,57947
14,dronet$dispatch_14_scalar_relu_n3136,,,0.059755,ms,59755.000000,0,,firesim,relu,n=3136,59755
15,dronet$dispatch_15_scalar_conv2d_N1xIC64xIH7xIW7xOC64xOH7xOW7xKH3xKW3xSH1xSW1xPH1xPW1,,,19.060048,ms,19060048.000000,0,,firesim,conv2d,N=1;IC=64;IH=7;IW=7;OC=64;OH=7;OW=7;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,19060048
16,dronet$dispatch_16_scalar_conv2d_N1xIC32xIH14xIW14xOC64xOH7xOW7xKH1xKW1xSH2xSW2xPH0xPW0,,,1.955275,ms,1955275.000000,0,,firesim,conv2d,N=1;IC=32;IH=14;IW=14;OC=64;OH=7;OW=7;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,1955275
17,dronet$dispatch_17_scalar_add_n3136,,,0.057536,ms,57536.000000,0,,firesim,add,n=3136,57536
18,dronet$dispatch_18_scalar_batchnorm2d_N1xC64xH7xW7,,,0.056545,ms,56545.000000,0,,firesim,batchnorm2d,N=1;C=64;H=7;W=7,56545
19,dronet$dispatch_19_scalar_relu_n3136,,,0.061336,ms,61336.000000,0,,firesim,relu,n=3136,61336
20,dronet$dispatch_20_scalar_conv2d_N1xIC64xIH7xIW7xOC128xOH4xOW4xKH3xKW3xSH2xSW2xPH1xPW1,,,11.775170,ms,11775170.000000,0,,firesim,conv2d,N=1;IC=64;IH=7;IW=7;OC=128;OH=4;OW=4;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,11775170
21,dronet$dispatch_21_scalar_batchnorm2d_N1xC128xH4xW4,,,0.043351,ms,43351.000000,0,,firesim,batchnorm2d,N=1;C=128;H=4;W=4,43351
22,dronet$dispatch_22_scalar_relu_n2048,,,0.040466,ms,40466.000000,0,,firesim,relu,n=2048,40466
23,dronet$dispatch_23_scalar_conv2d_N1xIC128xIH4xIW4xOC128xOH4xOW4xKH3xKW3xSH1xSW1xPH1xPW1,,,23.446364,ms,23446364.000000,0,,firesim,conv2d,N=1;IC=128;IH=4;IW=4;OC=128;OH=4;OW=4;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,23446364
24,dronet$dispatch_24_scalar_conv2d_N1xIC64xIH7xIW7xOC128xOH4xOW4xKH1xKW1xSH2xSW2xPH0xPW0,,,2.506860,ms,2506860.000000,0,,firesim,conv2d,N=1;IC=64;IH=7;IW=7;OC=128;OH=4;OW=4;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,2506860
25,dronet$dispatch_25_scalar_add_n2048,,,0.039216,ms,39216.000000,0,,firesim,add,n=2048,39216
26,dronet$dispatch_26_scalar_relu_n2048,,,0.035467,ms,35467.000000,0,,firesim,relu,n=2048,35467
27,dronet$dispatch_27_scalar_linear_M1xK2048xN1,,,0.025325,ms,25325.000000,0,,firesim,linear,M=1;K=2048;N=1,25325
28,dronet$dispatch_28_scalar_linear_M1xK2048xN1,,,0.025199,ms,25199.000000,0,,firesim,linear,M=1;K=2048;N=1,25199
29,dronet$dispatch_29_scalar_sigmoid_n1,,,0.000298,ms,298.000000,0,,firesim,sigmoid,n=1,298
