dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles
0,dronet$dispatch_0_RVV_conv2d_N1xIC3xIH112xIW112xOC32xOH56xOW56xKH3xKW3xSH2xSW2xPH1xPW1,,,91.689314,ms,91689314.000000,0,,firesim,conv2d,N=1;IC=3;IH=112;IW=112;OC=32;OH=56;OW=56;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,91689314
1,dronet$dispatch_1_RVV_maxpool2d_N1xC32xIH56xIW56xOH27xOW27xKH3xKW3xSH2xSW2,,,4.278946,ms,4278946.000000,0,,firesim,maxpool2d,N=1;C=32;IH=56;IW=56;OH=27;OW=27;KH=3;KW=3;SH=2;SW=2,4278946
2,dronet$dispatch_2_RVV_batchnorm2d_N1xC32xH27xW27,,,0.411691,ms,411691.000000,0,,firesim,batchnorm2d,N=1;C=32;H=27;W=27,411691
3,dronet$dispatch_3_RVV_relu_n23328,,,0.505457,ms,505457.000000,0,,firesim,relu,n=23328,505457
4,dronet$dispatch_4_RVV_conv2d_N1xIC32xIH27xIW27xOC32xOH14xOW14xKH3xKW3xSH2xSW2xPH1xPW1,,,67.392209,ms,67392209.000000,0,,firesim,conv2d,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,67392209
5,dronet$dispatch_5_RVV_batchnorm2d_N1xC32xH14xW14,,,0.107968,ms,107968.000000,0,,firesim,batchnorm2d,N=1;C=32;H=14;W=14,107968
6,dronet$dispatch_6_RVV_relu_n6272,,,0.119933,ms,119933.000000,0,,firesim,relu,n=6272,119933
7,dronet$dispatch_7_RVV_conv2d_N1xIC32xIH14xIW14xOC32xOH14xOW14xKH3xKW3xSH1xSW1xPH1xPW1,,,53.834172,ms,53834172.000000,0,,firesim,conv2d,N=1;IC=32;IH=14;IW=14;OC=32;OH=14;OW=14;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,53834172
8,dronet$dispatch_8_RVV_conv2d_N1xIC32xIH27xIW27xOC32xOH14xOW14xKH1xKW1xSH2xSW2xPH0xPW0,,,35.154217,ms,35154217.000000,0,,firesim,conv2d,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,35154217
9,dronet$dispatch_9_RVV_add_n6272,,,0.116452,ms,116452.000000,0,,firesim,add,n=6272,116452
10,dronet$dispatch_10_RVV_batchnorm2d_N1xC32xH14xW14,,,0.107641,ms,107641.000000,0,,firesim,batchnorm2d,N=1;C=32;H=14;W=14,107641
11,dronet$dispatch_11_RVV_relu_n6272,,,0.126265,ms,126265.000000,0,,firesim,relu,n=6272,126265
12,dronet$dispatch_12_RVV_conv2d_N1xIC32xIH14xIW14xOC64xOH7xOW7xKH3xKW3xSH2xSW2xPH1xPW1,,,41.068272,ms,41068272.000000,0,,firesim,conv2d,N=1;IC=32;IH=14;IW=14;OC=64;OH=7;OW=7;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,41068272
13,dronet$dispatch_13_RVV_batchnorm2d_N1xC64xH7xW7,,,0.058164,ms,58164.000000,0,,firesim,batchnorm2d,N=1;C=64;H=7;W=7,58164
14,dronet$dispatch_14_RVV_relu_n3136,,,0.060126,ms,60126.000000,0,,firesim,relu,n=3136,60126
15,dronet$dispatch_15_RVV_conv2d_N1xIC64xIH7xIW7xOC64xOH7xOW7xKH3xKW3xSH1xSW1xPH1xPW1,,,59.107215,ms,59107215.000000,0,,firesim,conv2d,N=1;IC=64;IH=7;IW=7;OC=64;OH=7;OW=7;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,59107215
16,dronet$dispatch_16_RVV_conv2d_N1xIC32xIH14xIW14xOC64xOH7xOW7xKH1xKW1xSH2xSW2xPH0xPW0,,,30.904529,ms,30904529.000000,0,,firesim,conv2d,N=1;IC=32;IH=14;IW=14;OC=64;OH=7;OW=7;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,30904529
17,dronet$dispatch_17_RVV_add_n3136,,,0.056852,ms,56852.000000,0,,firesim,add,n=3136,56852
18,dronet$dispatch_18_RVV_batchnorm2d_N1xC64xH7xW7,,,0.056486,ms,56486.000000,0,,firesim,batchnorm2d,N=1;C=64;H=7;W=7,56486
19,dronet$dispatch_19_RVV_relu_n3136,,,0.061183,ms,61183.000000,0,,firesim,relu,n=3136,61183
20,dronet$dispatch_20_RVV_conv2d_N1xIC64xIH7xIW7xOC128xOH4xOW4xKH3xKW3xSH2xSW2xPH1xPW1,,,44.536533,ms,44536533.000000,0,,firesim,conv2d,N=1;IC=64;IH=7;IW=7;OC=128;OH=4;OW=4;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,44536533
21,dronet$dispatch_21_RVV_batchnorm2d_N1xC128xH4xW4,,,0.042832,ms,42832.000000,0,,firesim,batchnorm2d,N=1;C=128;H=4;W=4,42832
22,dronet$dispatch_22_RVV_relu_n2048,,,0.040529,ms,40529.000000,0,,firesim,relu,n=2048,40529
