dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles
0,dronet$dispatch_0_scalar_conv2d_N1xIC3xIH112xIW112xOC32xOH56xOW56xKH3xKW3xSH2xSW2xPH1xPW1,,,91.709812,ms,91709812.000000,0,,firesim,conv2d,N=1;IC=3;IH=112;IW=112;OC=32;OH=56;OW=56;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,91709812
1,dronet$dispatch_1_scalar_maxpool2d_N1xC32xIH56xIW56xOH27xOW27xKH3xKW3xSH2xSW2,,,4.281831,ms,4281831.000000,0,,firesim,maxpool2d,N=1;C=32;IH=56;IW=56;OH=27;OW=27;KH=3;KW=3;SH=2;SW=2,4281831
2,dronet$dispatch_2_scalar_batchnorm2d_N1xC32xH27xW27,,,0.410796,ms,410796.000000,0,,firesim,batchnorm2d,N=1;C=32;H=27;W=27,410796
3,dronet$dispatch_3_scalar_relu_n23328,,,0.506968,ms,506968.000000,0,,firesim,relu,n=23328,506968
4,dronet$dispatch_4_scalar_conv2d_N1xIC32xIH27xIW27xOC32xOH14xOW14xKH3xKW3xSH2xSW2xPH1xPW1,,,67.391092,ms,67391092.000000,0,,firesim,conv2d,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,67391092
5,dronet$dispatch_5_scalar_batchnorm2d_N1xC32xH14xW14,,,0.109436,ms,109436.000000,0,,firesim,batchnorm2d,N=1;C=32;H=14;W=14,109436
6,dronet$dispatch_6_scalar_relu_n6272,,,0.120350,ms,120350.000000,0,,firesim,relu,n=6272,120350
7,dronet$dispatch_7_scalar_conv2d_N1xIC32xIH14xIW14xOC32xOH14xOW14xKH3xKW3xSH1xSW1xPH1xPW1,,,53.833088,ms,53833088.000000,0,,firesim,conv2d,N=1;IC=32;IH=14;IW=14;OC=32;OH=14;OW=14;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,53833088
8,dronet$dispatch_8_scalar_conv2d_N1xIC32xIH27xIW27xOC32xOH14xOW14xKH1xKW1xSH2xSW2xPH0xPW0,,,35.155906,ms,35155906.000000,0,,firesim,conv2d,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,35155906
9,dronet$dispatch_9_scalar_add_n6272,,,0.114672,ms,114672.000000,0,,firesim,add,n=6272,114672
10,dronet$dispatch_10_scalar_batchnorm2d_N1xC32xH14xW14,,,0.107499,ms,107499.000000,0,,firesim,batchnorm2d,N=1;C=32;H=14;W=14,107499
11,dronet$dispatch_11_scalar_relu_n6272,,,0.125729,ms,125729.000000,0,,firesim,relu,n=6272,125729
12,dronet$dispatch_12_scalar_conv2d_N1xIC32xIH14xIW14xOC64xOH7xOW7xKH3xKW3xSH2xSW2xPH1xPW1,,,41.068070,ms,41068070.000000,0,,firesim,conv2d,N=1;IC=32;IH=14;IW=14;OC=64;OH=7;OW=7;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,41068070
13,dronet$dispatch_13_scalar_batchnorm2d_N1xC64xH7xW7,,,0.057936,ms,57936.000000,0,,firesim,batchnorm2d,N=1;C=64;H=7;W=7,57936
14,dronet$dispatch_14_scalar_relu_n3136,,,0.060085,ms,60085.000000,0,,firesim,relu,n=3136,60085
15,dronet$dispatch_15_scalar_conv2d_N1xIC64xIH7xIW7xOC64xOH7xOW7xKH3xKW3xSH1xSW1xPH1xPW1,,,59.108809,ms,59108809.000000,0,,firesim,conv2d,N=1;IC=64;IH=7;IW=7;OC=64;OH=7;OW=7;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,59108809
16,dronet$dispatch_16_scalar_conv2d_N1xIC32xIH14xIW14xOC64xOH7xOW7xKH1xKW1xSH2xSW2xPH0xPW0,,,30.904007,ms,30904007.000000,0,,firesim,conv2d,N=1;IC=32;IH=14;IW=14;OC=64;OH=7;OW=7;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,30904007
17,dronet$dispatch_17_scalar_add_n3136,,,0.056895,ms,56895.000000,0,,firesim,add,n=3136,56895
18,dronet$dispatch_18_scalar_batchnorm2d_N1xC64xH7xW7,,,0.056644,ms,56644.000000,0,,firesim,batchnorm2d,N=1;C=64;H=7;W=7,56644
19,dronet$dispatch_19_scalar_relu_n3136,,,0.060740,ms,60740.000000,0,,firesim,relu,n=3136,60740
20,dronet$dispatch_20_scalar_conv2d_N1xIC64xIH7xIW7xOC128xOH4xOW4xKH3xKW3xSH2xSW2xPH1xPW1,,,44.535266,ms,44535266.000000,0,,firesim,conv2d,N=1;IC=64;IH=7;IW=7;OC=128;OH=4;OW=4;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,44535266
21,dronet$dispatch_21_scalar_batchnorm2d_N1xC128xH4xW4,,,0.043573,ms,43573.000000,0,,firesim,batchnorm2d,N=1;C=128;H=4;W=4,43573
22,dronet$dispatch_22_scalar_relu_n2048,,,0.040354,ms,40354.000000,0,,firesim,relu,n=2048,40354
23,dronet$dispatch_23_scalar_conv2d_N1xIC128xIH4xIW4xOC128xOH4xOW4xKH3xKW3xSH1xSW1xPH1xPW1,,,73.892336,ms,73892336.000000,0,,firesim,conv2d,N=1;IC=128;IH=4;IW=4;OC=128;OH=4;OW=4;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,73892336
24,dronet$dispatch_24_scalar_conv2d_N1xIC64xIH7xIW7xOC128xOH4xOW4xKH1xKW1xSH2xSW2xPH0xPW0,,,32.018788,ms,32018788.000000,0,,firesim,conv2d,N=1;IC=64;IH=7;IW=7;OC=128;OH=4;OW=4;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,32018788
25,dronet$dispatch_25_scalar_add_n2048,,,0.040029,ms,40029.000000,0,,firesim,add,n=2048,40029
26,dronet$dispatch_26_scalar_relu_n2048,,,0.035750,ms,35750.000000,0,,firesim,relu,n=2048,35750
27,dronet$dispatch_27_scalar_linear_M1xK2048xN1,,,0.025638,ms,25638.000000,0,,firesim,linear,M=1;K=2048;N=1,25638
28,dronet$dispatch_28_scalar_linear_M1xK2048xN1,,,0.025173,ms,25173.000000,0,,firesim,linear,M=1;K=2048;N=1,25173
29,dronet$dispatch_29_scalar_sigmoid_n1,,,0.000417,ms,417.000000,0,,firesim,sigmoid,n=1,417
