dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles
0,dronet$dispatch_0_RVV_conv2d_N1xIC3xIH112xIW112xOC32xOH56xOW56xKH3xKW3xSH2xSW2xPH1xPW1,,,65.907253,ms,65907253.000000,0,,firesim,conv2d,N=1;IC=3;IH=112;IW=112;OC=32;OH=56;OW=56;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,65907253
1,dronet$dispatch_1_RVV_maxpool2d_N1xC32xIH56xIW56xOH27xOW27xKH3xKW3xSH2xSW2,,,4.263990,ms,4263990.000000,0,,firesim,maxpool2d,N=1;C=32;IH=56;IW=56;OH=27;OW=27;KH=3;KW=3;SH=2;SW=2,4263990
2,dronet$dispatch_2_RVV_batchnorm2d_N1xC32xH27xW27,,,0.406131,ms,406131.000000,0,,firesim,batchnorm2d,N=1;C=32;H=27;W=27,406131
3,dronet$dispatch_3_RVV_relu_n23328,,,0.505196,ms,505196.000000,0,,firesim,relu,n=23328,505196
4,dronet$dispatch_4_RVV_conv2d_N1xIC32xIH27xIW27xOC32xOH14xOW14xKH3xKW3xSH2xSW2xPH1xPW1,,,40.355470,ms,40355470.000000,0,,firesim,conv2d,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,40355470
5,dronet$dispatch_5_RVV_batchnorm2d_N1xC32xH14xW14,,,0.106740,ms,106740.000000,0,,firesim,batchnorm2d,N=1;C=32;H=14;W=14,106740
6,dronet$dispatch_6_RVV_relu_n6272,,,0.120110,ms,120110.000000,0,,firesim,relu,n=6272,120110
7,dronet$dispatch_7_RVV_conv2d_N1xIC32xIH14xIW14xOC32xOH14xOW14xKH3xKW3xSH1xSW1xPH1xPW1,,,39.625070,ms,39625070.000000,0,,firesim,conv2d,N=1;IC=32;IH=14;IW=14;OC=32;OH=14;OW=14;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,39625070
8,dronet$dispatch_8_RVV_conv2d_N1xIC32xIH27xIW27xOC32xOH14xOW14xKH1xKW1xSH2xSW2xPH0xPW0,,,8.128117,ms,8128117.000000,0,,firesim,conv2d,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,8128117
9,dronet$dispatch_9_RVV_add_n6272,,,0.113448,ms,113448.000000,0,,firesim,add,n=6272,113448
10,dronet$dispatch_10_RVV_batchnorm2d_N1xC32xH14xW14,,,0.107250,ms,107250.000000,0,,firesim,batchnorm2d,N=1;C=32;H=14;W=14,107250
11,dronet$dispatch_11_RVV_relu_n6272,,,0.125781,ms,125781.000000,0,,firesim,relu,n=6272,125781
12,dronet$dispatch_12_RVV_conv2d_N1xIC32xIH14xIW14xOC64xOH7xOW7xKH3xKW3xSH2xSW2xPH1xPW1,,,20.043626,ms,20043626.000000,0,,firesim,conv2d,N=1;IC=32;IH=14;IW=14;OC=64;OH=7;OW=7;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,20043626
13,dronet$dispatch_13_RVV_batchnorm2d_N1xC64xH7xW7,,,0.057759,ms,57759.000000,0,,firesim,batchnorm2d,N=1;C=64;H=7;W=7,57759
14,dronet$dispatch_14_RVV_relu_n3136,,,0.059880,ms,59880.000000,0,,firesim,relu,n=3136,59880
15,dronet$dispatch_15_RVV_conv2d_N1xIC64xIH7xIW7xOC64xOH7xOW7xKH3xKW3xSH1xSW1xPH1xPW1,,,38.084996,ms,38084996.000000,0,,firesim,conv2d,N=1;IC=64;IH=7;IW=7;OC=64;OH=7;OW=7;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,38084996
16,dronet$dispatch_16_RVV_conv2d_N1xIC32xIH14xIW14xOC64xOH7xOW7xKH1xKW1xSH2xSW2xPH0xPW0,,,3.877676,ms,3877676.000000,0,,firesim,conv2d,N=1;IC=32;IH=14;IW=14;OC=64;OH=7;OW=7;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,3877676
17,dronet$dispatch_17_RVV_add_n3136,,,0.056096,ms,56096.000000,0,,firesim,add,n=3136,56096
18,dronet$dispatch_18_RVV_batchnorm2d_N1xC64xH7xW7,,,0.056865,ms,56865.000000,0,,firesim,batchnorm2d,N=1;C=64;H=7;W=7,56865
19,dronet$dispatch_19_RVV_relu_n3136,,,0.061227,ms,61227.000000,0,,firesim,relu,n=3136,61227
20,dronet$dispatch_20_RVV_conv2d_N1xIC64xIH7xIW7xOC128xOH4xOW4xKH3xKW3xSH2xSW2xPH1xPW1,,,23.514861,ms,23514861.000000,0,,firesim,conv2d,N=1;IC=64;IH=7;IW=7;OC=128;OH=4;OW=4;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,23514861
21,dronet$dispatch_21_RVV_batchnorm2d_N1xC128xH4xW4,,,0.043604,ms,43604.000000,0,,firesim,batchnorm2d,N=1;C=128;H=4;W=4,43604
22,dronet$dispatch_22_RVV_relu_n2048,,,0.040607,ms,40607.000000,0,,firesim,relu,n=2048,40607
23,dronet$dispatch_23_RVV_conv2d_N1xIC128xIH4xIW4xOC128xOH4xOW4xKH3xKW3xSH1xSW1xPH1xPW1,,,46.857099,ms,46857099.000000,0,,firesim,conv2d,N=1;IC=128;IH=4;IW=4;OC=128;OH=4;OW=4;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,46857099
24,dronet$dispatch_24_RVV_conv2d_N1xIC64xIH7xIW7xOC128xOH4xOW4xKH1xKW1xSH2xSW2xPH0xPW0,,,4.994783,ms,4994783.000000,0,,firesim,conv2d,N=1;IC=64;IH=7;IW=7;OC=128;OH=4;OW=4;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,4994783
25,dronet$dispatch_25_RVV_add_n2048,,,0.039407,ms,39407.000000,0,,firesim,add,n=2048,39407
26,dronet$dispatch_26_RVV_relu_n2048,,,0.035650,ms,35650.000000,0,,firesim,relu,n=2048,35650
27,dronet$dispatch_27_RVV_linear_M1xK2048xN1,,,0.025469,ms,25469.000000,0,,firesim,linear,M=1;K=2048;N=1,25469
28,dronet$dispatch_28_RVV_linear_M1xK2048xN1,,,0.025621,ms,25621.000000,0,,firesim,linear,M=1;K=2048;N=1,25621
29,dronet$dispatch_29_RVV_sigmoid_n1,,,0.000381,ms,381.000000,0,,firesim,sigmoid,n=1,381
