dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles
0,dronet$dispatch_0_RVV_conv2d_N1xIC3xIH112xIW112xOC32xOH56xOW56xKH3xKW3xSH2xSW2xPH1xPW1,,,73.023420,ms,73023420.000000,0,,firesim,conv2d,N=1;IC=3;IH=112;IW=112;OC=32;OH=56;OW=56;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,73023420
1,dronet$dispatch_1_RVV_maxpool2d_N1xC32xIH56xIW56xOH27xOW27xKH3xKW3xSH2xSW2,,,4.282963,ms,4282963.000000,0,,firesim,maxpool2d,N=1;C=32;IH=56;IW=56;OH=27;OW=27;KH=3;KW=3;SH=2;SW=2,4282963
2,dronet$dispatch_2_RVV_batchnorm2d_N1xC32xH27xW27,,,0.409003,ms,409003.000000,0,,firesim,batchnorm2d,N=1;C=32;H=27;W=27,409003
3,dronet$dispatch_3_RVV_relu_n23328,,,0.505775,ms,505775.000000,0,,firesim,relu,n=23328,505775
4,dronet$dispatch_4_RVV_conv2d_N1xIC32xIH27xIW27xOC32xOH14xOW14xKH3xKW3xSH2xSW2xPH1xPW1,,,53.379666,ms,53379666.000000,0,,firesim,conv2d,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,53379666
5,dronet$dispatch_5_RVV_batchnorm2d_N1xC32xH14xW14,,,0.107986,ms,107986.000000,0,,firesim,batchnorm2d,N=1;C=32;H=14;W=14,107986
6,dronet$dispatch_6_RVV_relu_n6272,,,0.120210,ms,120210.000000,0,,firesim,relu,n=6272,120210
7,dronet$dispatch_7_RVV_conv2d_N1xIC32xIH14xIW14xOC32xOH14xOW14xKH3xKW3xSH1xSW1xPH1xPW1,,,39.821739,ms,39821739.000000,0,,firesim,conv2d,N=1;IC=32;IH=14;IW=14;OC=32;OH=14;OW=14;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,39821739
8,dronet$dispatch_8_RVV_conv2d_N1xIC32xIH27xIW27xOC32xOH14xOW14xKH1xKW1xSH2xSW2xPH0xPW0,,,21.143475,ms,21143475.000000,0,,firesim,conv2d,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,21143475
9,dronet$dispatch_9_RVV_add_n6272,,,0.113967,ms,113967.000000,0,,firesim,add,n=6272,113967
10,dronet$dispatch_10_RVV_batchnorm2d_N1xC32xH14xW14,,,0.107518,ms,107518.000000,0,,firesim,batchnorm2d,N=1;C=32;H=14;W=14,107518
11,dronet$dispatch_11_RVV_relu_n6272,,,0.126207,ms,126207.000000,0,,firesim,relu,n=6272,126207
12,dronet$dispatch_12_RVV_conv2d_N1xIC32xIH14xIW14xOC64xOH7xOW7xKH3xKW3xSH2xSW2xPH1xPW1,,,27.055325,ms,27055325.000000,0,,firesim,conv2d,N=1;IC=32;IH=14;IW=14;OC=64;OH=7;OW=7;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,27055325
13,dronet$dispatch_13_RVV_batchnorm2d_N1xC64xH7xW7,,,0.057989,ms,57989.000000,0,,firesim,batchnorm2d,N=1;C=64;H=7;W=7,57989
14,dronet$dispatch_14_RVV_relu_n3136,,,0.059875,ms,59875.000000,0,,firesim,relu,n=3136,59875
15,dronet$dispatch_15_RVV_conv2d_N1xIC64xIH7xIW7xOC64xOH7xOW7xKH3xKW3xSH1xSW1xPH1xPW1,,,45.093988,ms,45093988.000000,0,,firesim,conv2d,N=1;IC=64;IH=7;IW=7;OC=64;OH=7;OW=7;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,45093988
16,dronet$dispatch_16_RVV_conv2d_N1xIC32xIH14xIW14xOC64xOH7xOW7xKH1xKW1xSH2xSW2xPH0xPW0,,,10.897809,ms,10897809.000000,0,,firesim,conv2d,N=1;IC=32;IH=14;IW=14;OC=64;OH=7;OW=7;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,10897809
17,dronet$dispatch_17_RVV_add_n3136,,,0.056327,ms,56327.000000,0,,firesim,add,n=3136,56327
18,dronet$dispatch_18_RVV_batchnorm2d_N1xC64xH7xW7,,,0.056125,ms,56125.000000,0,,firesim,batchnorm2d,N=1;C=64;H=7;W=7,56125
19,dronet$dispatch_19_RVV_relu_n3136,,,0.060774,ms,60774.000000,0,,firesim,relu,n=3136,60774
20,dronet$dispatch_20_RVV_conv2d_N1xIC64xIH7xIW7xOC128xOH4xOW4xKH3xKW3xSH2xSW2xPH1xPW1,,,30.526073,ms,30526073.000000,0,,firesim,conv2d,N=1;IC=64;IH=7;IW=7;OC=128;OH=4;OW=4;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,30526073
21,dronet$dispatch_21_RVV_batchnorm2d_N1xC128xH4xW4,,,0.042987,ms,42987.000000,0,,firesim,batchnorm2d,N=1;C=128;H=4;W=4,42987
22,dronet$dispatch_22_RVV_relu_n2048,,,0.040097,ms,40097.000000,0,,firesim,relu,n=2048,40097
23,dronet$dispatch_23_RVV_conv2d_N1xIC128xIH4xIW4xOC128xOH4xOW4xKH3xKW3xSH1xSW1xPH1xPW1,,,59.887491,ms,59887491.000000,0,,firesim,conv2d,N=1;IC=128;IH=4;IW=4;OC=128;OH=4;OW=4;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,59887491
24,dronet$dispatch_24_RVV_conv2d_N1xIC64xIH7xIW7xOC128xOH4xOW4xKH1xKW1xSH2xSW2xPH0xPW0,,,18.009692,ms,18009692.000000,0,,firesim,conv2d,N=1;IC=64;IH=7;IW=7;OC=128;OH=4;OW=4;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,18009692
25,dronet$dispatch_25_RVV_add_n2048,,,0.040005,ms,40005.000000,0,,firesim,add,n=2048,40005
26,dronet$dispatch_26_RVV_relu_n2048,,,0.035680,ms,35680.000000,0,,firesim,relu,n=2048,35680
27,dronet$dispatch_27_RVV_linear_M1xK2048xN1,,,0.025226,ms,25226.000000,0,,firesim,linear,M=1;K=2048;N=1,25226
28,dronet$dispatch_28_RVV_linear_M1xK2048xN1,,,0.025218,ms,25218.000000,0,,firesim,linear,M=1;K=2048;N=1,25218
