dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles
0,dronet$dispatch_0_scalar_conv2d_N1xIC3xIH112xIW112xOC32xOH56xOW56xKH3xKW3xSH2xSW2xPH1xPW1,,,65.995314,ms,65995314.000000,0,,firesim,conv2d,N=1;IC=3;IH=112;IW=112;OC=32;OH=56;OW=56;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,65995314
1,dronet$dispatch_1_scalar_maxpool2d_N1xC32xIH56xIW56xOH27xOW27xKH3xKW3xSH2xSW2,,,4.267639,ms,4267639.000000,0,,firesim,maxpool2d,N=1;C=32;IH=56;IW=56;OH=27;OW=27;KH=3;KW=3;SH=2;SW=2,4267639
2,dronet$dispatch_2_scalar_batchnorm2d_N1xC32xH27xW27,,,0.406288,ms,406288.000000,0,,firesim,batchnorm2d,N=1;C=32;H=27;W=27,406288
3,dronet$dispatch_3_scalar_relu_n23328,,,0.504522,ms,504522.000000,0,,firesim,relu,n=23328,504522
4,dronet$dispatch_4_scalar_conv2d_N1xIC32xIH27xIW27xOC32xOH14xOW14xKH3xKW3xSH2xSW2xPH1xPW1,,,40.363954,ms,40363954.000000,0,,firesim,conv2d,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,40363954
5,dronet$dispatch_5_scalar_batchnorm2d_N1xC32xH14xW14,,,0.109882,ms,109882.000000,0,,firesim,batchnorm2d,N=1;C=32;H=14;W=14,109882
6,dronet$dispatch_6_scalar_relu_n6272,,,0.119871,ms,119871.000000,0,,firesim,relu,n=6272,119871
7,dronet$dispatch_7_scalar_conv2d_N1xIC32xIH14xIW14xOC32xOH14xOW14xKH3xKW3xSH1xSW1xPH1xPW1,,,39.630320,ms,39630320.000000,0,,firesim,conv2d,N=1;IC=32;IH=14;IW=14;OC=32;OH=14;OW=14;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,39630320
8,dronet$dispatch_8_scalar_conv2d_N1xIC32xIH27xIW27xOC32xOH14xOW14xKH1xKW1xSH2xSW2xPH0xPW0,,,8.132705,ms,8132705.000000,0,,firesim,conv2d,N=1;IC=32;IH=27;IW=27;OC=32;OH=14;OW=14;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,8132705
9,dronet$dispatch_9_scalar_add_n6272,,,0.113373,ms,113373.000000,0,,firesim,add,n=6272,113373
10,dronet$dispatch_10_scalar_batchnorm2d_N1xC32xH14xW14,,,0.107717,ms,107717.000000,0,,firesim,batchnorm2d,N=1;C=32;H=14;W=14,107717
11,dronet$dispatch_11_scalar_relu_n6272,,,0.125696,ms,125696.000000,0,,firesim,relu,n=6272,125696
12,dronet$dispatch_12_scalar_conv2d_N1xIC32xIH14xIW14xOC64xOH7xOW7xKH3xKW3xSH2xSW2xPH1xPW1,,,20.044226,ms,20044226.000000,0,,firesim,conv2d,N=1;IC=32;IH=14;IW=14;OC=64;OH=7;OW=7;KH=3;KW=3;SH=2;SW=2;PH=1;PW=1,20044226
13,dronet$dispatch_13_scalar_batchnorm2d_N1xC64xH7xW7,,,0.057233,ms,57233.000000,0,,firesim,batchnorm2d,N=1;C=64;H=7;W=7,57233
14,dronet$dispatch_14_scalar_relu_n3136,,,0.059460,ms,59460.000000,0,,firesim,relu,n=3136,59460
15,dronet$dispatch_15_scalar_conv2d_N1xIC64xIH7xIW7xOC64xOH7xOW7xKH3xKW3xSH1xSW1xPH1xPW1,,,38.087680,ms,38087680.000000,0,,firesim,conv2d,N=1;IC=64;IH=7;IW=7;OC=64;OH=7;OW=7;KH=3;KW=3;SH=1;SW=1;PH=1;PW=1,38087680
16,dronet$dispatch_16_scalar_conv2d_N1xIC32xIH14xIW14xOC64xOH7xOW7xKH1xKW1xSH2xSW2xPH0xPW0,,,3.877942,ms,3877942.000000,0,,firesim,conv2d,N=1;IC=32;IH=14;IW=14;OC=64;OH=7;OW=7;KH=1;KW=1;SH=2;SW=2;PH=0;PW=0,3877942
17,dronet$dispatch_17_scalar_add_n3136,,,0.057231,ms,57231.000000,0,,firesim,add,n=3136,57231
18,dronet$dispatch_18_scalar_batchnorm2d_N1xC64xH7xW7,,,0.056271,ms,56271.000000,0,,firesim,batchnorm2d,N=1;C=64;H=7;W=7,56271
